最优固定 T = 0.0288s
全局最坏波动误差 = 33.59 ms

目标延迟 | 标称fps | 推荐N | 波动区间最大误差(ms)
-------------------------------------------------------
   30ms  |     64  |      1  |          13.2
   30ms  |     80  |      1  |          13.2
   30ms  |    100  |      1  |           8.4
   30ms  |    120  |      1  |           8.4
   30ms  |    144  |      1  |           6.0
   30ms  |    165  |      1  |           6.0
   30ms  |    180  |      1  |           4.7
   30ms  |    200  |      1  |           4.6
   30ms  |    240  |      1  |           3.6
   30ms  |    300  |      1  |           2.9
   30ms  |    320  |      1  |           2.4
   30ms  |    400  |      1  |           1.7
   30ms  |    450  |      1  |           1.4
   30ms  |    500  |      1  |           1.2
   30ms  |    550  |      1  |           1.2

   50ms  |     64  |      1  |          21.2
   50ms  |     80  |      1  |          21.2
   50ms  |    100  |      1  |          21.2
   50ms  |    120  |      1  |          21.2
   50ms  |    144  |      1  |          21.2
   50ms  |    165  |      1  |          21.2
   50ms  |    180  |      2  |          19.4
   50ms  |    200  |      2  |          19.1
   50ms  |    240  |      2  |          17.2
   50ms  |    300  |      2  |          15.8
   50ms  |    320  |      2  |          14.8
   50ms  |    400  |      2  |          13.4
   50ms  |    450  |      2  |          12.8
   50ms  |    500  |      2  |          12.4
   50ms  |    550  |      2  |          12.0

   70ms  |     64  |      2  |          16.4
   70ms  |     80  |      2  |          16.4
   70ms  |    100  |      2  |          12.4
   70ms  |    120  |      2  |          12.4
   70ms  |    144  |      2  |          12.4
   70ms  |    165  |      2  |          12.4
   70ms  |    180  |      2  |          12.4
   70ms  |    200  |      2  |          12.4
   70ms  |    240  |      2  |          12.4
   70ms  |    300  |      2  |          12.4
   70ms  |    320  |      2  |          12.4
   70ms  |    400  |      2  |          12.4
   70ms  |    450  |      2  |          12.4
   70ms  |    500  |      2  |          12.4
   70ms  |    550  |      2  |          12.4

  100ms  |     64  |      3  |          29.6
  100ms  |     80  |      3  |          29.6
  100ms  |    100  |      3  |          15.2
  100ms  |    120  |      3  |          15.2
  100ms  |    144  |      3  |          13.6
  100ms  |    165  |      3  |          13.6
  100ms  |    180  |      3  |          13.6
  100ms  |    200  |      3  |          13.6
  100ms  |    240  |      3  |          13.6
  100ms  |    300  |      3  |          13.6
  100ms  |    320  |      3  |          13.6
  100ms  |    400  |      3  |          13.6
  100ms  |    450  |      3  |          13.6
  100ms  |    500  |      3  |          13.6
  100ms  |    550  |      3  |          13.6

  120ms  |     64  |      3  |          33.6
  120ms  |     80  |      3  |          33.5
  120ms  |    100  |      3  |          33.6
  120ms  |    120  |      3  |          33.6
  120ms  |    144  |      4  |          23.9
  120ms  |    165  |      4  |          23.9
  120ms  |    180  |      4  |          18.9
  120ms  |    200  |      4  |          18.2
  120ms  |    240  |      4  |          14.4
  120ms  |    300  |      4  |          11.6
  120ms  |    320  |      4  |           9.6
  120ms  |    400  |      4  |           6.7
  120ms  |    450  |      4  |           5.6
  120ms  |    500  |      4  |           4.8
  120ms  |    550  |      4  |           4.8

  140ms  |     64  |      4  |          32.8
  140ms  |     80  |      4  |          32.8
  140ms  |    100  |      4  |          24.7
  140ms  |    120  |      4  |          24.8
  140ms  |    144  |      4  |          24.8
  140ms  |    165  |      4  |          24.8
  140ms  |    180  |      4  |          24.8
  140ms  |    200  |      4  |          24.7
  140ms  |    240  |      4  |          24.8
  140ms  |    300  |      5  |          24.5
  140ms  |    320  |      5  |          22.0
  140ms  |    400  |      5  |          18.4
  140ms  |    450  |      5  |          17.0
  140ms  |    500  |      5  |          16.0
  140ms  |    550  |      5  |          15.0
