起步时间,当前速度,急停所需时间
0.0000000000,0.0000000000,0.0000000000
0.0400000000,40.8247008648,0.0360077582
0.0800000000,76.9921436709,0.0550004833
0.1200000000,108.7785750454,0.0696872774
0.1600000000,136.4602416154,0.0819326411
0.2000000000,160.3133900081,0.0924637552
0.2400000000,180.6142668505,0.1016412896
0.2800000000,197.6391187697,0.1096615272
0.3200000000,211.6641923930,0.1166314735
0.3600000000,222.9657343473,0.1226037935
0.4000000000,231.8199912598,0.1275978074
0.4400000000,238.5032097577,0.1316173291
0.4800000000,243.2916364680,0.1346702887
0.5200000000,246.4615180178,0.1367902753
0.5600000000,248.2891010343,0.1380547170
